aaag,ysag,aaa,ysa,rate,upper,lower
5-19,0,11,0,0.923076923,1,0.591432992
5-19,0,12,0,0.923076923,1,0.591432992
5-19,0,13,0,0.923076923,1,0.591432992
5-19,0,14,0,0.923076923,1,0.591432992
5-19,0,15,0,0.923076923,1,0.591432992
5-19,0,16,0,0.923076923,1,0.591432992
5-19,0,17,0,0.923076923,1,0.591432992
5-19,0,18,0,0.923076923,1,0.591432992
5-19,0,19,0,0.923076923,1,0.591432992
5-19,1,11,1,1,1,1
5-19,1,12,1,1,1,1
5-19,1,13,1,1,1,1
5-19,1,14,1,1,1,1
5-19,1,15,1,1,1,1
5-19,1,16,1,1,1,1
5-19,1,17,1,1,1,1
5-19,1,18,1,1,1,1
5-19,1,19,1,1,1,1
5-19,2-5,11,2,1,1,1
5-19,2-5,12,2,1,1,1
5-19,2-5,13,2,1,1,1
5-19,2-5,14,2,1,1,1
5-19,2-5,15,2,1,1,1
5-19,2-5,16,2,1,1,1
5-19,2-5,17,2,1,1,1
5-19,2-5,18,2,1,1,1
5-19,2-5,19,2,1,1,1
5-19,2-5,11,3,1,1,1
5-19,2-5,12,3,1,1,1
5-19,2-5,13,3,1,1,1
5-19,2-5,14,3,1,1,1
5-19,2-5,15,3,1,1,1
5-19,2-5,16,3,1,1,1
5-19,2-5,17,3,1,1,1
5-19,2-5,18,3,1,1,1
5-19,2-5,19,3,1,1,1
5-19,2-5,11,4,1,1,1
5-19,2-5,12,4,1,1,1
5-19,2-5,13,4,1,1,1
5-19,2-5,14,4,1,1,1
5-19,2-5,15,4,1,1,1
5-19,2-5,16,4,1,1,1
5-19,2-5,17,4,1,1,1
5-19,2-5,18,4,1,1,1
5-19,2-5,19,4,1,1,1
5-19,2-5,11,5,1,1,1
5-19,2-5,12,5,1,1,1
5-19,2-5,13,5,1,1,1
5-19,2-5,14,5,1,1,1
5-19,2-5,15,5,1,1,1
5-19,2-5,16,5,1,1,1
5-19,2-5,17,5,1,1,1
5-19,2-5,18,5,1,1,1
5-19,2-5,19,5,1,1,1
5-19,6-10,11,6,1,1,1
5-19,6-10,12,6,1,1,1
5-19,6-10,13,6,1,1,1
5-19,6-10,14,6,1,1,1
5-19,6-10,15,6,1,1,1
5-19,6-10,16,6,1,1,1
5-19,6-10,17,6,1,1,1
5-19,6-10,18,6,1,1,1
5-19,6-10,19,6,1,1,1
5-19,6-10,11,7,1,1,1
5-19,6-10,12,7,1,1,1
5-19,6-10,13,7,1,1,1
5-19,6-10,14,7,1,1,1
5-19,6-10,15,7,1,1,1
5-19,6-10,16,7,1,1,1
5-19,6-10,17,7,1,1,1
5-19,6-10,18,7,1,1,1
5-19,6-10,19,7,1,1,1
5-19,6-10,11,8,1,1,1
5-19,6-10,12,8,1,1,1
5-19,6-10,13,8,1,1,1
5-19,6-10,14,8,1,1,1
5-19,6-10,15,8,1,1,1
5-19,6-10,16,8,1,1,1
5-19,6-10,17,8,1,1,1
5-19,6-10,18,8,1,1,1
5-19,6-10,19,8,1,1,1
5-19,6-10,11,9,1,1,1
5-19,6-10,12,9,1,1,1
5-19,6-10,13,9,1,1,1
5-19,6-10,14,9,1,1,1
5-19,6-10,15,9,1,1,1
5-19,6-10,16,9,1,1,1
5-19,6-10,17,9,1,1,1
5-19,6-10,18,9,1,1,1
5-19,6-10,19,9,1,1,1
5-19,6-10,11,10,1,1,1
5-19,6-10,12,10,1,1,1
5-19,6-10,13,10,1,1,1
5-19,6-10,14,10,1,1,1
5-19,6-10,15,10,1,1,1
5-19,6-10,16,10,1,1,1
5-19,6-10,17,10,1,1,1
5-19,6-10,18,10,1,1,1
5-19,6-10,19,10,1,1,1
5-19,11+,11,11,1,1,1
5-19,11+,12,11,1,1,1
5-19,11+,13,11,1,1,1
5-19,11+,14,11,1,1,1
5-19,11+,15,11,1,1,1
5-19,11+,16,11,1,1,1
5-19,11+,17,11,1,1,1
5-19,11+,18,11,1,1,1
5-19,11+,19,11,1,1,1
5-19,11+,11,12,1,1,1
5-19,11+,12,12,1,1,1
5-19,11+,13,12,1,1,1
5-19,11+,14,12,1,1,1
5-19,11+,15,12,1,1,1
5-19,11+,16,12,1,1,1
5-19,11+,17,12,1,1,1
5-19,11+,18,12,1,1,1
5-19,11+,19,12,1,1,1
5-19,11+,11,13,1,1,1
5-19,11+,12,13,1,1,1
5-19,11+,13,13,1,1,1
5-19,11+,14,13,1,1,1
5-19,11+,15,13,1,1,1
5-19,11+,16,13,1,1,1
5-19,11+,17,13,1,1,1
5-19,11+,18,13,1,1,1
5-19,11+,19,13,1,1,1
5-19,11+,11,14,1,1,1
5-19,11+,12,14,1,1,1
5-19,11+,13,14,1,1,1
5-19,11+,14,14,1,1,1
5-19,11+,15,14,1,1,1
5-19,11+,16,14,1,1,1
5-19,11+,17,14,1,1,1
5-19,11+,18,14,1,1,1
5-19,11+,19,14,1,1,1
5-19,11+,11,15,1,1,1
5-19,11+,12,15,1,1,1
5-19,11+,13,15,1,1,1
5-19,11+,14,15,1,1,1
5-19,11+,15,15,1,1,1
5-19,11+,16,15,1,1,1
5-19,11+,17,15,1,1,1
5-19,11+,18,15,1,1,1
5-19,11+,19,15,1,1,1
5-19,11+,11,16,1,1,1
5-19,11+,12,16,1,1,1
5-19,11+,13,16,1,1,1
5-19,11+,14,16,1,1,1
5-19,11+,15,16,1,1,1
5-19,11+,16,16,1,1,1
5-19,11+,17,16,1,1,1
5-19,11+,18,16,1,1,1
5-19,11+,19,16,1,1,1
5-19,11+,11,17,1,1,1
5-19,11+,12,17,1,1,1
5-19,11+,13,17,1,1,1
5-19,11+,14,17,1,1,1
5-19,11+,15,17,1,1,1
5-19,11+,16,17,1,1,1
5-19,11+,17,17,1,1,1
5-19,11+,18,17,1,1,1
5-19,11+,19,17,1,1,1
5-19,11+,11,18,1,1,1
5-19,11+,12,18,1,1,1
5-19,11+,13,18,1,1,1
5-19,11+,14,18,1,1,1
5-19,11+,15,18,1,1,1
5-19,11+,16,18,1,1,1
5-19,11+,17,18,1,1,1
5-19,11+,18,18,1,1,1
5-19,11+,19,18,1,1,1
5-19,11+,11,19,1,1,1
5-19,11+,12,19,1,1,1
5-19,11+,13,19,1,1,1
5-19,11+,14,19,1,1,1
5-19,11+,15,19,1,1,1
5-19,11+,16,19,1,1,1
5-19,11+,17,19,1,1,1
5-19,11+,18,19,1,1,1
5-19,11+,19,19,1,1,1
5-19,11+,11,20,1,1,1
5-19,11+,12,20,1,1,1
5-19,11+,13,20,1,1,1
5-19,11+,14,20,1,1,1
5-19,11+,15,20,1,1,1
5-19,11+,16,20,1,1,1
5-19,11+,17,20,1,1,1
5-19,11+,18,20,1,1,1
5-19,11+,19,20,1,1,1
5-19,11+,11,21,1,1,1
5-19,11+,12,21,1,1,1
5-19,11+,13,21,1,1,1
5-19,11+,14,21,1,1,1
5-19,11+,15,21,1,1,1
5-19,11+,16,21,1,1,1
5-19,11+,17,21,1,1,1
5-19,11+,18,21,1,1,1
5-19,11+,19,21,1,1,1
5-19,11+,11,22,1,1,1
5-19,11+,12,22,1,1,1
5-19,11+,13,22,1,1,1
5-19,11+,14,22,1,1,1
5-19,11+,15,22,1,1,1
5-19,11+,16,22,1,1,1
5-19,11+,17,22,1,1,1
5-19,11+,18,22,1,1,1
5-19,11+,19,22,1,1,1
5-19,11+,11,23,1,1,1
5-19,11+,12,23,1,1,1
5-19,11+,13,23,1,1,1
