aaag,ysag,cobi,aaa,ysa,Rate,UUI,LUI,Sex
11-19,0,100+,11,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,12,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,13,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,14,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,15,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,16,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,17,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,18,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,100+,19,0,0.008068982,0.012427512,0.005026165,Both
11-19,0,<100,11,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,12,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,13,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,14,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,15,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,16,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,17,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,18,0,0.003740024,0.009424766,0.001123429,Both
11-19,0,<100,19,0,0.003740024,0.009424766,0.001123429,Both
11-19,1,100+,11,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,12,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,13,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,14,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,15,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,16,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,17,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,18,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,100+,19,1,0.005117106,0.007786902,0.003232762,Both
11-19,1,<100,11,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,12,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,13,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,14,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,15,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,16,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,17,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,18,1,0.002886263,0.006422116,0.001074174,Both
11-19,1,<100,19,1,0.002886263,0.006422116,0.001074174,Both
11-19,2,100+,11,2,0.005005905,0.007493846,0.003224905,Both
11-19,2,100+,12,2,0.005005905,0.007493846,0.003224905,Both
