treatment,Age,Rate,low,high
4R,0,0,0,0.000338744
3HP,0,0,0,0
,0,0,0,0
9H,0,0,0,0
6H,0,0,0,0
4R,1,0,0,0.000338744
3HP,1,0,0,0
,1,0,0,0
9H,1,0,0,0
6H,1,0,0,0
4R,2,0,0,0.000338744
3HP,2,0,0,0
,2,0,0,0
9H,2,0,0,0
6H,2,0,0,0
4R,3,0,0,0.000338744
3HP,3,0,0,0
,3,0,0,0
9H,3,0,0,0
6H,3,0,0,0
4R,4,0,0,0.000338744
3HP,4,0,0,0
,4,0,0,0
9H,4,0,0,0
6H,4,0,0,0
4R,5,0,0,0.000338744
3HP,5,0,0,0
,5,0,0,0
9H,5,0,0,0
6H,5,0,0,0
4R,6,0,0,0.000338744
3HP,6,0,0,0
,6,0,0,0
9H,6,0,0,0
6H,6,0,0,0
4R,7,0,0,0.000338744
3HP,7,0,0,0
,7,0,0,0
9H,7,0,0,0
6H,7,0,0,0
4R,8,0,0,0.000338744
3HP,8,0,0,0
,8,0,0,0
9H,8,0,0,0
6H,8,0,0,0
4R,9,0,0,0.000338744
3HP,9,0,0,0
,9,0,0,0
9H,9,0,0,0
6H,9,0,0,0
4R,10,0,0,0.000338744
3HP,10,0,0,0
,10,0,0,0
9H,10,0,0,0
6H,10,0,0,0
4R,11,0,0,0.000338744
3HP,11,0,0,0
,11,0,0,0
9H,11,0,0,0
6H,11,0,0,0
4R,12,0,0,0.000338744
3HP,12,0,0,0
,12,0,0,0
9H,12,0,0,0
6H,12,0,0,0
4R,13,0,0,0.000338744
3HP,13,0,0,0
,13,0,0,0
9H,13,0,0,0
6H,13,0,0,0
4R,14,0,0,0.000338744
3HP,14,0,0,0
,14,0,0,0
9H,14,0,0,0
6H,14,0,0,0
4R,15,0,0,0.000338744
3HP,15,0,0,0
,15,0,0,0
9H,15,0,0,0
6H,15,0,0,0
4R,16,0,0,0.000338744
3HP,16,0,0,0
,16,0,0,0
9H,16,0,0,0
6H,16,0,0,0
4R,17,0,0,0.000338744
3HP,17,0,0,0
,17,0,0,0
9H,17,0,0,0
6H,17,0,0,0
4R,18,0,0,0.000338744
3HP,18,0,0,0
,18,0,0,0
9H,18,0,0,0
6H,18,0,0,0
4R,19,0,0,0.000338744
3HP,19,0,0,0
,19,0,0,0
9H,19,0,0,0
6H,19,0,0,0
4R,20,0,0,0.000338744
3HP,20,0,0,0
,20,0,0,0
9H,20,0,0,0
6H,20,0,0,0
4R,21,0,0,0.000338744
3HP,21,0,0,0
,21,0,0,0
9H,21,0,0,0
6H,21,0,0,0
4R,22,0,0,0.000338744
3HP,22,0,0,0
,22,0,0,0
9H,22,0,0,0
6H,22,0,0,0
4R,23,0,0,0.000338744
3HP,23,0,0,0
,23,0,0,0
9H,23,0,0,0
6H,23,0,0,0
4R,24,0,0,0.000338744
3HP,24,0,0,0
,24,0,0,0
9H,24,0,0,0
6H,24,0,0,0
4R,25,0,0,0.000338744
3HP,25,0,0,0
,25,0,0,0
9H,25,0,0,0
6H,25,0,0,0
4R,26,0,0,0.000338744
3HP,26,0,0,0
,26,0,0,0
9H,26,0,0,0
6H,26,0,0,0
4R,27,0,0,0.000338744
3HP,27,0,0,0
,27,0,0,0
9H,27,0,0,0
6H,27,0,0,0
4R,28,0,0,0.000338744
3HP,28,0,0,0
,28,0,0,0
9H,28,0,0,0
6H,28,0,0,0
4R,29,0,0,0.000338744
3HP,29,0,0,0
,29,0,0,0
9H,29,0,0,0
6H,29,0,0,0
4R,30,0,0,0.000338744
3HP,30,0,0,0
,30,0,0,0
9H,30,0,0,0
6H,30,0,0,0
4R,31,0,0,0.000338744
3HP,31,0,0,0
,31,0,0,0
9H,31,0,0,0
6H,31,0,0,0
4R,32,0,0,0.000338744
3HP,32,0,0,0
,32,0,0,0
9H,32,0,0,0
6H,32,0,0,0
4R,33,0,0,0.000338744
3HP,33,0,0,0
,33,0,0,0
9H,33,0,0,0
6H,33,0,0,0
4R,34,0,0,0.000338744
3HP,34,0,0,0
,34,0,0,0
9H,34,0,0,0
6H,34,0,0,0
4R,35,0,0,0.000338744
3HP,35,0,0,0
,35,0,0,0
9H,35,0.004701899,0,0.007405491
6H,35,0.004701899,0,0.007405491
4R,36,0,0,0.000338744
3HP,36,0.019964103,0,0.031443462
,36,0,0,0
9H,36,0.004701899,0,0.007405491
6H,36,0.004701899,0,0.007405491
4R,37,0,0,0.000338744
3HP,37,0.019964103,0,0.031443462
,37,0,0,0
9H,37,0.004701899,0,0.007405491
6H,37,0.004701899,0,0.007405491
4R,38,0,0,0.000338744
3HP,38,0.019964103,0,0.031443462
,38,0,0,0
9H,38,0.004701899,0,0.007405491
6H,38,0.004701899,0,0.007405491
4R,39,0,0,0.000338744
3HP,39,0.019964103,0,0.031443462
,39,0,0,0
9H,39,0.004701899,0,0.007405491
6H,39,0.004701899,0,0.007405491
4R,40,0,0,0.000338744
3HP,40,0.019964103,0,0.031443462
,40,0,0,0
9H,40,0.004701899,0,0.007405491
6H,40,0.004701899,0,0.007405491
4R,41,0,0,0.000338744
3HP,41,0.019964103,0,0.031443462
,41,0,0,0
9H,41,0.004701899,0,0.007405491
6H,41,0.004701899,0,0.007405491
4R,42,0,0,0.000338744
3HP,42,0.019964103,0,0.031443462
,42,0,0,0
9H,42,0.004701899,0,0.007405491
6H,42,0.004701899,0,0.007405491
4R,43,0,0,0.000338744
3HP,43,0.019964103,0,0.031443462
,43,0,0,0
9H,43,0.004701899,0,0.007405491
6H,43,0.004701899,0,0.007405491
4R,44,0,0,0.000338744
3HP,44,0.019964103,0,0.031443462
,44,0,0,0
9H,44,0.004701899,0,0.007405491
6H,44,0.004701899,0,0.007405491
4R,45,0,0,0.000338744
3HP,45,0.019964103,0,0.031443462
,45,0,0,0
9H,45,0.004701899,0,0.007405491
6H,45,0.004701899,0,0.007405491
4R,46,0,0,0.000338744
3HP,46,0.019964103,0,0.031443462
,46,0,0,0
9H,46,0.004701899,0,0.007405491
6H,46,0.004701899,0,0.007405491
4R,47,0,0,0.000338744
3HP,47,0.019964103,0,0.031443462
,47,0,0,0
9H,47,0.004701899,0,0.007405491
6H,47,0.004701899,0,0.007405491
4R,48,0,0,0.000338744
3HP,48,0.019964103,0,0.031443462
,48,0,0,0
9H,48,0.004701899,0,0.007405491
6H,48,0.004701899,0,0.007405491
4R,49,0,0,0.000338744
3HP,49,0.019964103,0,0.031443462
,49,0,0,0
9H,49,0.004701899,0,0.007405491
6H,49,0.004701899,0,0.007405491
4R,50,0,0,0.000338744
3HP,50,0.019964103,0,0.031443462
,50,0,0,0
9H,50,0.004701899,0,0.007405491
6H,50,0.004701899,0,0.007405491
4R,51,0,0,0.000338744
3HP,51,0.007751515,0,0.012208636
,51,0,0,0
9H,51,0.004701899,0,0.007405491
6H,51,0.004701899,0,0.007405491
4R,52,0,0,0.000338744
3HP,52,0.007751515,0,0.012208636
,52,0,0,0
9H,52,0.004701899,0,0.007405491
6H,52,0.004701899,0,0.007405491
4R,53,0,0,0.000338744
3HP,53,0.007751515,0,0.012208636
,53,0,0,0
9H,53,0.004701899,0,0.007405491
6H,53,0.004701899,0,0.007405491
4R,54,0,0,0.000338744
3HP,54,0.007751515,0,0.012208636
,54,0,0,0
9H,54,0.004701899,0,0.007405491
6H,54,0.004701899,0,0.007405491
4R,55,0,0,0.000338744
3HP,55,0.007751515,0,0.012208636
,55,0,0,0
9H,55,0.004701899,0,0.007405491
6H,55,0.004701899,0,0.007405491
4R,56,0,0,0.000338744
3HP,56,0.007751515,0,0.012208636
,56,0,0,0
9H,56,0.004701899,0,0.007405491
6H,56,0.004701899,0,0.007405491
4R,57,0,0,0.000338744
3HP,57,0.007751515,0,0.012208636
,57,0,0,0
9H,57,0.004701899,0,0.007405491
6H,57,0.004701899,0,0.007405491
4R,58,0,0,0.000338744
3HP,58,0.007751515,0,0.012208636
,58,0,0,0
9H,58,0.004701899,0,0.007405491
6H,58,0.004701899,0,0.007405491
4R,59,0,0,0.000338744
3HP,59,0.007751515,0,0.012208636
,59,0,0,0
9H,59,0.004701899,0,0.007405491
6H,59,0.004701899,0,0.007405491
4R,60,0,0,0.000338744
3HP,60,0.007751515,0,0.012208636
,60,0,0,0
9H,60,0.004701899,0,0.007405491
6H,60,0.004701899,0,0.007405491
4R,61,0,0,0.000338744
3HP,61,0.007751515,0,0.012208636
,61,0,0,0
9H,61,0.004701899,0,0.007405491
6H,61,0.004701899,0,0.007405491
4R,62,0,0,0.000338744
3HP,62,0.007751515,0,0.012208636
,62,0,0,0
9H,62,0.004701899,0,0.007405491
6H,62,0.004701899,0,0.007405491
4R,63,0,0,0.000338744
3HP,63,0.007751515,0,0.012208636
,63,0,0,0
9H,63,0.004701899,0,0.007405491
6H,63,0.004701899,0,0.007405491
4R,64,0,0,0.000338744
3HP,64,0.007751515,0,0.012208636
,64,0,0,0
9H,64,0.004701899,0,0.007405491
6H,64,0.004701899,0,0.007405491
4R,65,0,0,0.000338744
3HP,65,0.007751515,0,0.012208636
,65,0,0,0
9H,65,0.006118993,0,0.009637414
6H,65,0.006118993,0,0.009637414
4R,66,0,0,0.000338744
3HP,66,0.007751515,0,0.012208636
,66,0,0,0
9H,66,0.006118993,0,0.009637414
6H,66,0.006118993,0,0.009637414
4R,67,0,0,0.000338744
3HP,67,0.007751515,0,0.012208636
,67,0,0,0
9H,67,0.006118993,0,0.009637414
6H,67,0.006118993,0,0.009637414
4R,68,0,0,0.000338744
3HP,68,0.007751515,0,0.012208636
,68,0,0,0
9H,68,0.006118993,0,0.009637414
6H,68,0.006118993,0,0.009637414
4R,69,0,0,0.000338744
3HP,69,0.007751515,0,0.012208636
,69,0,0,0
9H,69,0.006118993,0,0.009637414
6H,69,0.006118993,0,0.009637414
4R,70,0,0,0.000338744
3HP,70,0.007751515,0,0.012208636
,70,0,0,0
9H,70,0.006118993,0,0.009637414
6H,70,0.006118993,0,0.009637414
4R,71,0,0,0.000338744
3HP,71,0.007751515,0,0.012208636
,71,0,0,0
9H,71,0.006118993,0,0.009637414
6H,71,0.006118993,0,0.009637414
4R,72,0,0,0.000338744
3HP,72,0.007751515,0,0.012208636
,72,0,0,0
9H,72,0.006118993,0,0.009637414
6H,72,0.006118993,0,0.009637414
4R,73,0,0,0.000338744
3HP,73,0.007751515,0,0.012208636
,73,0,0,0
9H,73,0.006118993,0,0.009637414
6H,73,0.006118993,0,0.009637414
4R,74,0,0,0.000338744
3HP,74,0.007751515,0,0.012208636
,74,0,0,0
9H,74,0.006118993,0,0.009637414
6H,74,0.006118993,0,0.009637414
4R,75,0,0,0.000338744
3HP,75,0.007751515,0,0.012208636
,75,0,0,0
9H,75,0.006118993,0,0.009637414
6H,75,0.006118993,0,0.009637414
4R,76,0,0,0.000338744
3HP,76,0.007751515,0,0.012208636
,76,0,0,0
9H,76,0.006118993,0,0.009637414
6H,76,0.006118993,0,0.009637414
4R,77,0,0,0.000338744
3HP,77,0.007751515,0,0.012208636
,77,0,0,0
9H,77,0.006118993,0,0.009637414
6H,77,0.006118993,0,0.009637414
4R,78,0,0,0.000338744
3HP,78,0.007751515,0,0.012208636
,78,0,0,0
9H,78,0.006118993,0,0.009637414
6H,78,0.006118993,0,0.009637414
4R,79,0,0,0.000338744
3HP,79,0.007751515,0,0.012208636
,79,0,0,0
9H,79,0.006118993,0,0.009637414
6H,79,0.006118993,0,0.009637414
