treatment,Age,Rate,low,high
9H,0,0.010446,0,0
6H,0,0.010446,0,0
4R,0,0.00945,0.00030487,0.01524
3HP,0,0.003339327,0.001,0.057
,0,0,0,0
9H,1,0.010446,0,0
6H,1,0.010446,0,0
4R,1,0.00945,0.00030487,0.01524
3HP,1,0.003339327,0.001,0.057
,1,0,0,0
9H,2,0.010446,0,0
6H,2,0.010446,0,0
4R,2,0.00945,0.00030487,0.01524
3HP,2,0.003339327,0.001,0.057
,2,0,0,0
9H,3,0.010446,0,0
6H,3,0.010446,0,0
4R,3,0.00945,0.00030487,0.01524
3HP,3,0.003339327,0.001,0.057
,3,0,0,0
9H,4,0.010446,0,0
6H,4,0.010446,0,0
4R,4,0.00945,0.00030487,0.01524
3HP,4,0.003339327,0.001,0.057
,4,0,0,0
9H,5,0.010446,0,0
6H,5,0.010446,0,0
4R,5,0.00945,0.00030487,0.01524
3HP,5,0.003339327,0.001,0.057
,5,0,0,0
9H,6,0.010446,0,0
6H,6,0.010446,0,0
4R,6,0.00945,0.00030487,0.01524
3HP,6,0.003339327,0.001,0.057
,6,0,0,0
9H,7,0.010446,0,0
6H,7,0.010446,0,0
4R,7,0.00945,0.00030487,0.01524
3HP,7,0.003339327,0.001,0.057
,7,0,0,0
9H,8,0.010446,0,0
6H,8,0.010446,0,0
4R,8,0.00945,0.00030487,0.01524
3HP,8,0.003339327,0.001,0.057
,8,0,0,0
9H,9,0.010446,0,0
6H,9,0.010446,0,0
4R,9,0.00945,0.00030487,0.01524
3HP,9,0.003339327,0.001,0.057
,9,0,0,0
9H,10,0.010446,0,0
6H,10,0.010446,0,0
4R,10,0.00945,0.00030487,0.01524
3HP,10,0.003339327,0.001,0.057
,10,0,0,0
9H,11,0.010446,0,0
6H,11,0.010446,0,0
4R,11,0.00945,0.00030487,0.01524
3HP,11,0.003339327,0.001,0.057
,11,0,0,0
9H,12,0.010446,0,0
6H,12,0.010446,0,0
4R,12,0.00945,0.00030487,0.01524
