iso3,country,year,incidence_per_100k,incidence_per_100k_lo,incidence_per_100k_hi,incident_cases,incident_cases_lo,incident_cases_hi,population,estimation_method
AUS,Australia,2000,6.82,5.55,8.22,1305,1061,1572,19132473,Notifications and standard adjustment
AUS,Australia,2001,6.31,5.13,7.6,1221,994,1472,19365439,Notifications and standard adjustment
AUS,Australia,2002,6.42,5.22,7.74,1258,1023,1516,19595360,Notifications and standard adjustment
AUS,Australia,2003,5.92,4.82,7.14,1174,955,1415,19819456,Notifications and standard adjustment
AUS,Australia,2004,6.59,5.36,7.94,1320,1074,1591,20046682,Notifications and standard adjustment
AUS,Australia,2005,6.33,5.15,7.63,1285,1045,1548,20294493,Notifications and standard adjustment
AUS,Australia,2006,6.91,5.62,8.33,1422,1157,1714,20590557,Notifications and standard adjustment
AUS,Australia,2007,6.51,5.3,7.85,1364,1110,1644,20954557,Notifications and standard adjustment
AUS,Australia,2008,6.9,5.61,8.31,1474,1199,1776,21370593,Notifications and standard adjustment
AUS,Australia,2009,7.18,5.84,8.65,1563,1272,1884,21783011,Notifications and standard adjustment
AUS,Australia,2010,6.83,5.56,8.23,1512,1230,1823,22141580,Notifications and standard adjustment
AUS,Australia,2011,6.56,5.34,7.91,1475,1201,1778,22479779,Notifications and standard adjustment
AUS,Australia,2012,6.73,5.48,8.11,1539,1252,1854,22852647,Notifications and standard adjustment
AUS,Australia,2013,6.28,5.11,7.57,1459,1187,1759,23236273,Notifications and standard adjustment
AUS,Australia,2014,6.52,5.3,7.85,1537,1251,1853,23595610,Notifications and standard adjustment
AUS,Australia,2015,5.99,4.88,7.22,1435,1168,1730,23948003,Notifications and standard adjustment
AUS,Australia,2016,6.46,5.26,7.79,1573,1280,1896,24329960,Notifications and standard adjustment
AUS,Australia,2017,6.62,5.39,7.98,1637,1332,1973,24731028,Notifications and standard adjustment
AUS,Australia,2018,6.55,5.33,7.89,1645,1338,1983,25119698,Notifications and standard adjustment
AUS,Australia,2019,6.76,5.5,8.14,1722,1401,2075,25482711,Notifications and standard adjustment
AUS,Australia,2020,7.18,5.84,8.65,1847,1503,2227,25743794,Notifications and standard adjustment
AUS,Australia,2021,6.49,5.28,7.82,1684,1370,2030,25956421,Notifications and standard adjustment
AUS,Australia,2022,5.57,4.53,6.71,1459,1187,1759,26200982,Notifications and standard adjustment
AUS,Australia,2023,6.22,5.06,7.5,1645,1338,1983,26451115,Notifications and standard adjustment
AUS,Australia,2024,6.93,5.64,8.35,1850,1506,2230,26713208,
BRA,Brazil,2000,48.71,39.63,58.71,84765,68968,102166,174018285,Notifications and standard adjustment
BRA,Brazil,2001,45.96,37.4,55.4,81029,65928,97664,176301200,Notifications and standard adjustment
BRA,Brazil,2002,49.64,40.39,59.83,88614,72099,106805,178503477,Notifications and standard adjustment
