iso3,iso2,iso_numeric,country,who_region,year,population,incidence_per_100k,incidence_per_100k_lo,incidence_per_100k_hi,incident_cases,incident_cases_lo,incident_cases_hi,hiv_positive_incidence_per_100k,hiv_positive_incidence_per_100k_lo,hiv_positive_incidence_per_100k_hi,incidence_status
ANT,AN,530,Netherlands Antilles,AMR,2000,190535,2.6,2.1,3.2,5,4,6,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2001,189980,4.7,3.9,5.7,9,7,11,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2002,191857,7.8,6.4,9.4,15,12,18,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2003,194885,4.6,3.8,5.6,9,7,11,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2004,197791,5.6,4.5,6.7,11,9,13,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2005,200348,4,3.3,4.9,8,7,10,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2006,202620,2.5,2,3,5,4,6,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2007,204854,2.7,2.2,3.2,5,4,7,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2008,207021,2.4,2,2.9,5,4,6,,,,estimated
ANT,AN,530,Netherlands Antilles,AMR,2009,209131,2.2,1.8,2.7,5,4,6,,,,estimated
AUS,AU,036,Australia,WPR,2000,19132473,6.8,5.5,8.2,1300,1100,1600,0.61,0.23,1.2,estimated
AUS,AU,036,Australia,WPR,2001,19365439,6.3,5.1,7.6,1200,990,1500,0.52,0.19,1,estimated
AUS,AU,036,Australia,WPR,2002,19595360,6.4,5.2,7.7,1300,1000,1500,0.48,0.18,0.92,estimated
AUS,AU,036,Australia,WPR,2003,19819456,5.9,4.8,7.1,1200,960,1400,0.39,0.15,0.76,estimated
AUS,AU,036,Australia,WPR,2004,20046682,6.6,5.4,7.9,1300,1100,1600,0.38,0.14,0.75,estimated
AUS,AU,036,Australia,WPR,2005,20294493,6.3,5.2,7.6,1300,1000,1500,0.31,0.11,0.6,estimated
AUS,AU,036,Australia,WPR,2006,20590557,6.9,5.6,8.3,1400,1200,1700,0.28,0.1,0.55,estimated
AUS,AU,036,Australia,WPR,2007,20954557,6.5,5.3,7.8,1400,1100,1600,0.22,0.08,0.43,estimated
AUS,AU,036,Australia,WPR,2008,21370593,6.9,5.6,8.3,1500,1200,1800,0.22,0.08,0.44,estimated
AUS,AU,036,Australia,WPR,2009,21783011,7.2,5.8,8.6,1600,1300,1900,0.23,0.08,0.44,estimated
AUS,AU,036,Australia,WPR,2010,22141580,6.8,5.6,8.2,1500,1200,1800,0.21,0.08,0.42,estimated
AUS,AU,036,Australia,WPR,2011,22479779,6.6,5.3,7.9,1500,1200,1800,0.2,0.07,0.39,estimated
AUS,AU,036,Australia,WPR,2012,22852647,6.7,5.5,8.1,1500,1300,1900,0.08,0.04,0.13,estimated
AUS,AU,036,Australia,WPR,2013,23236273,6.3,5.1,7.6,1500,1200,1800,0.16,0.1,0.23,estimated
AUS,AU,036,Australia,WPR,2014,23595610,6.5,5.3,7.9,1500,1300,1900,0.1,0.06,0.16,estimated
AUS,AU,036,Australia,WPR,2015,23948003,6,4.9,7.2,1400,1200,1700,0.13,0.08,0.19,estimated
AUS,AU,036,Australia,WPR,2016,24329960,6.5,5.3,7.8,1600,1300,1900,0.12,0.07,0.18,estimated
AUS,AU,036,Australia,WPR,2017,24731028,6.6,5.4,8,1600,1300,2000,0.14,0.08,0.2,estimated
AUS,AU,036,Australia,WPR,2018,25119698,6.5,5.3,7.9,1600,1300,2000,0.12,0.07,0.18,estimated
AUS,AU,036,Australia,WPR,2019,25482711,6.8,5.5,8.1,1700,1400,2100,0.1,0.06,0.15,estimated
AUS,AU,036,Australia,WPR,2020,25743794,7.2,5.8,8.6,1800,1500,2200,0.09,0.05,0.15,estimated
AUS,AU,036,Australia,WPR,2021,25956421,6.5,5.3,7.8,1700,1400,2000,0.07,0.04,0.12,estimated
AUS,AU,036,Australia,WPR,2022,26200982,5.6,4.5,6.7,1500,1200,1800,0.07,0.03,0.11,estimated
AUS,AU,036,Australia,WPR,2023,26451115,6.2,5.1,7.5,1600,1300,2000,0.11,0.07,0.17,estimated
AUS,AU,036,Australia,WPR,2024,26713208,6.9,5.6,8.3,1900,1500,2200,0.08,0.05,0.13,estimated
BRA,BR,076,Brazil,AMR,2000,174018285,49,40,59,85000,69000,102000,4.2,1.3,8.8,estimated
BRA,BR,076,Brazil,AMR,2001,176301200,46,37,55,81000,66000,98000,3.5,1.1,7.2,estimated
BRA,BR,076,Brazil,AMR,2002,178503477,50,40,60,89000,72000,107000,3.4,1.1,7.2,estimated
BRA,BR,076,Brazil,AMR,2003,180622693,51,41,61,91000,74000,110000,3.4,1,7,estimated
BRA,BR,076,Brazil,AMR,2004,182675137,52,42,62,95000,77000,114000,3.5,1.1,7.2,estimated
BRA,BR,076,Brazil,AMR,2005,184688111,48,39,57,88000,71000,106000,3.4,1.1,7.1,estimated
BRA,BR,076,Brazil,AMR,2006,186653109,44,36,53,82000,67000,99000,3.5,1.1,7.2,estimated
BRA,BR,076,Brazil,AMR,2007,188552322,44,35,52,82000,67000,99000,3.7,1.2,7.7,estimated
BRA,BR,076,Brazil,AMR,2008,190367299,44,36,53,84000,68000,101000,3.9,1.2,8.1,estimated
BRA,BR,076,Brazil,AMR,2009,192079956,43,35,52,83000,68000,100000,3.9,1.2,8.1,estimated
BRA,BR,076,Brazil,AMR,2010,193701928,42,34,51,82000,67000,99000,7.3,5.4,9.5,estimated
BRA,BR,076,Brazil,AMR,2011,195284741,42,35,51,83000,68000,100000,7.1,5.3,9.2,estimated
BRA,BR,076,Brazil,AMR,2012,196876113,42,34,51,83000,68000,100000,7,5.2,9.1,estimated
BRA,BR,076,Brazil,AMR,2013,198478300,42,35,51,84000,69000,102000,6.6,4.9,8.6,estimated
BRA,BR,076,Brazil,AMR,2014,200085119,41,34,50,83000,67000,100000,6.4,4.7,8.3,estimated
BRA,BR,076,Brazil,AMR,2015,201675529,41,33,50,83000,68000,100000,5.4,4,7,estimated
BRA,BR,076,Brazil,AMR,2016,203218122,41,34,50,84000,68000,101000,5.1,3.8,6.7,estimated
BRA,BR,076,Brazil,AMR,2017,204703451,43,35,52,88000,72000,106000,5.2,3.8,6.7,estimated
BRA,BR,076,Brazil,AMR,2018,206107261,45,37,54,93000,75000,112000,5.1,3.8,6.6,estimated
BRA,BR,076,Brazil,AMR,2019,207455451,45,37,55,94000,76000,113000,4.9,3.7,6.4,estimated
BRA,BR,076,Brazil,AMR,2020,208660841,45,37,54,93000,76000,112000,4.9,3.6,6.4,estimated
BRA,BR,076,Brazil,AMR,2021,209550290,47,38,56,98000,80000,118000,5.6,4,7.2,estimated
BRA,BR,076,Brazil,AMR,2022,210306413,49,40,60,103000,83000,126000,6,4.3,7.6,estimated
BRA,BR,076,Brazil,AMR,2023,211140731,49,40,61,103000,84000,128000,6,4.3,7.6,estimated
BRA,BR,076,Brazil,AMR,2024,211998579,49,40,61,104000,84000,129000,6.1,4.4,7.8,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2000,59057338,12,11,13,7000,6500,7500,1.3,0.54,2.5,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2001,59288089,11,11,12,6800,6300,7300,1.2,0.49,2.2,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2002,59540769,13,12,14,7800,7200,8300,1.3,0.51,2.4,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2003,59820380,13,12,14,8000,7400,8600,1.2,0.47,2.2,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2004,60169974,13,12,14,7900,7300,8500,1,0.41,1.9,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2005,60596107,15,14,16,9200,8500,9900,1,0.4,1.9,estimated
GBR,GB,826,United Kingdom of Great Britain and Northern Ireland,EUR,2006,61051090,15,14,16,9300,8600,10000,0.86,0.33,1.6,estimated
