scenario_id,screeningStrategy,section,metric,value
apy_paper_random_igra_3hp,random,costs,testingCost,51066.0
apy_paper_random_igra_3hp,random,costs,treatmentCost,5296.2304
apy_paper_random_igra_3hp,random,costs,falsePositiveIncrementalCost,0.0
apy_paper_random_igra_3hp,random,costs,programSetupCost,0.0
apy_paper_random_igra_3hp,random,costs,programRunningCost,0.0
apy_paper_random_igra_3hp,random,costs,tbDiseaseCostsAverted,76318.4
apy_paper_random_igra_3hp,random,costs,baselineTBDiseaseCost,705945.2
apy_paper_random_igra_3hp,random,costs,interventionTBDiseaseCost,629626.7999999999
apy_paper_random_igra_3hp,random,costs,totalProgramCost,56362.2304
apy_paper_random_igra_3hp,random,costs,netCostVsBaseline,-19956.1696
apy_paper_ltbi_igra_3hp,ltbi,costs,testingCost,51066.0
apy_paper_ltbi_igra_3hp,ltbi,costs,treatmentCost,11088.9824
apy_paper_ltbi_igra_3hp,ltbi,costs,falsePositiveIncrementalCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,programSetupCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,programRunningCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,tbDiseaseCostsAverted,209875.6
apy_paper_ltbi_igra_3hp,ltbi,costs,baselineTBDiseaseCost,705945.2
apy_paper_ltbi_igra_3hp,ltbi,costs,interventionTBDiseaseCost,496069.6
apy_paper_ltbi_igra_3hp,ltbi,costs,totalProgramCost,62154.9824
apy_paper_ltbi_igra_3hp,ltbi,costs,netCostVsBaseline,-147720.61759999997
apy_paper_cure_igra_3hp,cure,costs,testingCost,51066.0
apy_paper_cure_igra_3hp,cure,costs,treatmentCost,11088.9824
apy_paper_cure_igra_3hp,cure,costs,falsePositiveIncrementalCost,0.0
apy_paper_cure_igra_3hp,cure,costs,programSetupCost,0.0
apy_paper_cure_igra_3hp,cure,costs,programRunningCost,0.0
apy_paper_cure_igra_3hp,cure,costs,tbDiseaseCostsAverted,209875.6
apy_paper_cure_igra_3hp,cure,costs,baselineTBDiseaseCost,705945.2
apy_paper_cure_igra_3hp,cure,costs,interventionTBDiseaseCost,496069.6
apy_paper_cure_igra_3hp,cure,costs,totalProgramCost,62154.9824
apy_paper_cure_igra_3hp,cure,costs,netCostVsBaseline,-147720.61759999997
apy_paper_prevent_igra_3hp,prevent,costs,testingCost,51066.0
apy_paper_prevent_igra_3hp,prevent,costs,treatmentCost,10261.4464
apy_paper_prevent_igra_3hp,prevent,costs,falsePositiveIncrementalCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,programSetupCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,programRunningCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,tbDiseaseCostsAverted,228955.2
apy_paper_prevent_igra_3hp,prevent,costs,baselineTBDiseaseCost,705945.2
apy_paper_prevent_igra_3hp,prevent,costs,interventionTBDiseaseCost,476990.0
apy_paper_prevent_igra_3hp,prevent,costs,totalProgramCost,61327.4464
apy_paper_prevent_igra_3hp,prevent,costs,netCostVsBaseline,-167627.7536
