scenario_id,screeningStrategy,section,metric,value
apy_paper_random_igra_3hp,random,health,tbCasesPrevented,4.0
apy_paper_random_igra_3hp,random,health,tbDeathsPrevented,0.296
apy_paper_random_igra_3hp,random,health,yldAverted,0.666
apy_paper_random_igra_3hp,random,health,yllAverted,5.92
apy_paper_random_igra_3hp,random,health,dalysAverted,6.586
apy_paper_random_igra_3hp,random,health,qualityAdjustedLifeExpectancyPerTBDeath,17.466
apy_paper_random_igra_3hp,random,health,mortalityQalysGained,5.169936
apy_paper_random_igra_3hp,random,health,activeTbMorbidityQalysGained_Dale,0.1101999999999998
apy_paper_random_igra_3hp,random,health,activeTbMorbidityQalysGained_GBD,0.666
apy_paper_random_igra_3hp,random,health,morbidityOnlyQalysGained,0.1101079452054793
apy_paper_random_igra_3hp,random,health,qalyLossActiveTBAverted,0.1101999999999998
apy_paper_random_igra_3hp,random,health,qalyLossTreatment,0.0
apy_paper_random_igra_3hp,random,health,qalyLossSAE,9.205479452054632e-05
apy_paper_random_igra_3hp,random,health,treatmentDecrementQalyLoss,0.0
apy_paper_random_igra_3hp,random,health,saeQalyLoss,9.205479452054632e-05
apy_paper_random_igra_3hp,random,health,qalysGained_DaleMortalityAdjusted,5.280043945205479
apy_paper_random_igra_3hp,random,health,qalysGained_GBDAlignedMortalityAdjusted,5.83584394520548
apy_paper_random_igra_3hp,random,health,qalysGained,5.280043945205479
apy_paper_ltbi_igra_3hp,ltbi,health,tbCasesPrevented,11.0
apy_paper_ltbi_igra_3hp,ltbi,health,tbDeathsPrevented,0.814
apy_paper_ltbi_igra_3hp,ltbi,health,yldAverted,1.8315
apy_paper_ltbi_igra_3hp,ltbi,health,yllAverted,16.279999999999998
apy_paper_ltbi_igra_3hp,ltbi,health,dalysAverted,18.1115
apy_paper_ltbi_igra_3hp,ltbi,health,qualityAdjustedLifeExpectancyPerTBDeath,17.466
apy_paper_ltbi_igra_3hp,ltbi,health,mortalityQalysGained,14.217324
apy_paper_ltbi_igra_3hp,ltbi,health,activeTbMorbidityQalysGained_Dale,0.3030499999999996
apy_paper_ltbi_igra_3hp,ltbi,health,activeTbMorbidityQalysGained_GBD,1.8315
apy_paper_ltbi_igra_3hp,ltbi,health,morbidityOnlyQalysGained,0.3027738356164379
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossActiveTBAverted,0.3030499999999996
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossTreatment,0.0
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossSAE,0.0002761643835616
apy_paper_ltbi_igra_3hp,ltbi,health,treatmentDecrementQalyLoss,0.0
apy_paper_ltbi_igra_3hp,ltbi,health,saeQalyLoss,0.0002761643835616
apy_paper_ltbi_igra_3hp,ltbi,health,qalysGained_DaleMortalityAdjusted,14.520097835616436
apy_paper_ltbi_igra_3hp,ltbi,health,qalysGained_GBDAlignedMortalityAdjusted,16.04854783561644
apy_paper_ltbi_igra_3hp,ltbi,health,qalysGained,14.520097835616436
apy_paper_cure_igra_3hp,cure,health,tbCasesPrevented,11.0
apy_paper_cure_igra_3hp,cure,health,tbDeathsPrevented,0.814
apy_paper_cure_igra_3hp,cure,health,yldAverted,1.8315
apy_paper_cure_igra_3hp,cure,health,yllAverted,16.279999999999998
apy_paper_cure_igra_3hp,cure,health,dalysAverted,18.1115
apy_paper_cure_igra_3hp,cure,health,qualityAdjustedLifeExpectancyPerTBDeath,17.466
apy_paper_cure_igra_3hp,cure,health,mortalityQalysGained,14.217324
apy_paper_cure_igra_3hp,cure,health,activeTbMorbidityQalysGained_Dale,0.3030499999999996
apy_paper_cure_igra_3hp,cure,health,activeTbMorbidityQalysGained_GBD,1.8315
apy_paper_cure_igra_3hp,cure,health,morbidityOnlyQalysGained,0.3027738356164379
apy_paper_cure_igra_3hp,cure,health,qalyLossActiveTBAverted,0.3030499999999996
apy_paper_cure_igra_3hp,cure,health,qalyLossTreatment,0.0
apy_paper_cure_igra_3hp,cure,health,qalyLossSAE,0.0002761643835616
apy_paper_cure_igra_3hp,cure,health,treatmentDecrementQalyLoss,0.0
apy_paper_cure_igra_3hp,cure,health,saeQalyLoss,0.0002761643835616
apy_paper_cure_igra_3hp,cure,health,qalysGained_DaleMortalityAdjusted,14.520097835616436
apy_paper_cure_igra_3hp,cure,health,qalysGained_GBDAlignedMortalityAdjusted,16.04854783561644
apy_paper_cure_igra_3hp,cure,health,qalysGained,14.520097835616436
apy_paper_prevent_igra_3hp,prevent,health,tbCasesPrevented,12.0
apy_paper_prevent_igra_3hp,prevent,health,tbDeathsPrevented,0.8879999999999999
apy_paper_prevent_igra_3hp,prevent,health,yldAverted,1.998
apy_paper_prevent_igra_3hp,prevent,health,yllAverted,17.759999999999998
apy_paper_prevent_igra_3hp,prevent,health,dalysAverted,19.758
apy_paper_prevent_igra_3hp,prevent,health,qualityAdjustedLifeExpectancyPerTBDeath,17.466
apy_paper_prevent_igra_3hp,prevent,health,mortalityQalysGained,15.509808
apy_paper_prevent_igra_3hp,prevent,health,activeTbMorbidityQalysGained_Dale,0.3305999999999995
apy_paper_prevent_igra_3hp,prevent,health,activeTbMorbidityQalysGained_GBD,1.998
apy_paper_prevent_igra_3hp,prevent,health,morbidityOnlyQalysGained,0.3303238356164379
apy_paper_prevent_igra_3hp,prevent,health,qalyLossActiveTBAverted,0.3305999999999995
apy_paper_prevent_igra_3hp,prevent,health,qalyLossTreatment,0.0
apy_paper_prevent_igra_3hp,prevent,health,qalyLossSAE,0.0002761643835616
apy_paper_prevent_igra_3hp,prevent,health,treatmentDecrementQalyLoss,0.0
apy_paper_prevent_igra_3hp,prevent,health,saeQalyLoss,0.0002761643835616
apy_paper_prevent_igra_3hp,prevent,health,qalysGained_DaleMortalityAdjusted,15.840131835616438
apy_paper_prevent_igra_3hp,prevent,health,qalysGained_GBDAlignedMortalityAdjusted,17.50753183561644
apy_paper_prevent_igra_3hp,prevent,health,qalysGained,15.840131835616438
