scenario_id,screeningStrategy,sensitivity,tbCasesPrevented,dalysAverted,morbidityOnlyQalysGained,mortalityQalysGained,qalysGained,qalysGained_GBDAlignedMortalityAdjusted,costPerDALYAverted,costPerQALYGained,costPerQALYGained_GBDAligned,nmbDALY_45000,nmbDALY_75000,nmbQALY_45000,nmbQALY_75000,nmbQALY_GBDAligned_45000,nmbQALY_GBDAligned_75000,notes
apy_paper_random_igra_3hp,random,no_ltbi_treatment_utility_decrement,4.0,6.586,0.1101079452054793,5.169936,5.280043945205479,5.83584394520548,-3030.089523231095,-3779.546118763104,-3419.585888069414,316326.1696,513906.1696,257558.14713424657,415959.4654904109,282569.14713424654,457644.4654904109,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,ltbi_treatment_decrement_0_0133,4.0,6.586,0.0037079452054793,5.169936,5.173643945205479,5.72944394520548,-3030.089523231095,-3857.275415810897,-3483.090120237539,316326.1696,513906.1696,252770.14713424657,407979.4654904109,277781.1471342466,449664.46549041104,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,yld_only_no_yll,4.0,0.666,0.1101079452054793,5.169936,5.280043945205479,5.83584394520548,-29964.218618618608,-3779.546118763104,-3419.585888069414,49926.1696,69906.1696,257558.14713424657,415959.4654904109,282569.14713424654,457644.4654904109,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,conservative_yll_10,4.0,3.626,0.1101079452054793,2.584968,2.69507594520548,3.2508759452054794,-5503.631991174847,-7404.678014918977,-6138.705363221301,183126.1696,291906.1696,141234.58713424657,222086.8654904109,166245.58713424657,263771.86549041094,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,higher_yll_30,4.0,9.546,0.1101079452054793,7.754903999999999,7.865011945205478,8.420811945205477,-2090.5268803687404,-2537.334938463164,-2369.862874251972,449526.1696,735906.1696,373881.7071342465,609832.0654904109,398892.7071342465,651517.0654904108,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,lower_tb_case_fatality,4.0,3.626,0.1101079452054793,2.584968,2.69507594520548,3.2508759452054794,-5503.631991174847,-7404.678014918977,-6138.705363221301,183126.1696,291906.1696,141234.58713424657,222086.8654904109,166245.58713424657,263771.86549041094,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,higher_tb_case_fatality,4.0,9.546,0.1101079452054793,7.754904000000001,7.86501194520548,8.420811945205479,-2090.52688036874,-2537.334938463164,-2369.862874251972,449526.1696,735906.1696000001,373881.7071342466,609832.065490411,398892.7071342466,651517.0654904109,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,no_ltbi_treatment_utility_decrement,11.0,18.1115,0.3027738356164379,14.217324,14.520097835616436,16.04854783561644,-8156.177986362254,-10173.527704314442,-9204.60960786524,962738.1176,1506083.1176,801125.0202027396,1236727.9552712326,869905.2702027397,1351361.7052712329,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,ltbi_treatment_decrement_0_0133,11.0,18.1115,0.0799988356164379,14.217324,14.297322835616438,15.82577283561644,-8156.177986362254,-10332.047425830608,-9334.180335733728,962738.1176,1506083.1176,791100.1452027397,1220019.8302712329,859880.3952027397,1334653.5802712329,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,yld_only_no_yll,11.0,1.8315,0.3027738356164379,14.217324,14.520097835616436,16.04854783561644,-80655.53786513784,-10173.527704314442,-9204.60960786524,230138.1176,285083.1176,801125.0202027396,1236727.9552712326,869905.2702027397,1351361.7052712329,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,conservative_yll_10,11.0,9.9715,0.3027738356164379,7.108662,7.411435835616438,8.939885835616439,-14814.28246502532,-19931.44390323302,-16523.77002528177,596438.1175999999,895583.1175999999,481235.2302027397,703578.3052712328,550015.4802027397,818212.0552712328,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,higher_yll_30,11.0,26.2515,0.3027738356164379,21.325986,21.628759835616435,23.15720983561644,-5627.130548730547,-6829.823749614437,-6379.033512612626,1329038.1176,2116583.1176,1121014.8102027394,1769877.6052712323,1189795.0602027397,1884511.3552712328,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,lower_tb_case_fatality,11.0,9.9715,0.3027738356164379,7.108662,7.411435835616438,8.939885835616439,-14814.28246502532,-19931.44390323302,-16523.77002528177,596438.1175999999,895583.1175999999,481235.2302027397,703578.3052712328,550015.4802027397,818212.0552712328,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,higher_tb_case_fatality,11.0,26.2515,0.3027738356164379,21.325986000000004,21.62875983561644,23.157209835616445,-5627.130548730547,-6829.823749614435,-6379.033512612624,1329038.1176,2116583.1176,1121014.81020274,1769877.6052712332,1189795.06020274,1884511.3552712328,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,no_ltbi_treatment_utility_decrement,11.0,18.1115,0.3027738356164379,14.217324,14.520097835616436,16.04854783561644,-8156.177986362254,-10173.527704314442,-9204.60960786524,962738.1176,1506083.1176,801125.0202027396,1236727.9552712326,869905.2702027397,1351361.7052712329,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,ltbi_treatment_decrement_0_0133,11.0,18.1115,0.0799988356164379,14.217324,14.297322835616438,15.82577283561644,-8156.177986362254,-10332.047425830608,-9334.180335733728,962738.1176,1506083.1176,791100.1452027397,1220019.8302712329,859880.3952027397,1334653.5802712329,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,yld_only_no_yll,11.0,1.8315,0.3027738356164379,14.217324,14.520097835616436,16.04854783561644,-80655.53786513784,-10173.527704314442,-9204.60960786524,230138.1176,285083.1176,801125.0202027396,1236727.9552712326,869905.2702027397,1351361.7052712329,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,conservative_yll_10,11.0,9.9715,0.3027738356164379,7.108662,7.411435835616438,8.939885835616439,-14814.28246502532,-19931.44390323302,-16523.77002528177,596438.1175999999,895583.1175999999,481235.2302027397,703578.3052712328,550015.4802027397,818212.0552712328,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,higher_yll_30,11.0,26.2515,0.3027738356164379,21.325986,21.628759835616435,23.15720983561644,-5627.130548730547,-6829.823749614437,-6379.033512612626,1329038.1176,2116583.1176,1121014.8102027394,1769877.6052712323,1189795.0602027397,1884511.3552712328,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,lower_tb_case_fatality,11.0,9.9715,0.3027738356164379,7.108662,7.411435835616438,8.939885835616439,-14814.28246502532,-19931.44390323302,-16523.77002528177,596438.1175999999,895583.1175999999,481235.2302027397,703578.3052712328,550015.4802027397,818212.0552712328,Sensitivity assumption; not a final policy setting.
apy_paper_cure_igra_3hp,cure,higher_tb_case_fatality,11.0,26.2515,0.3027738356164379,21.325986000000004,21.62875983561644,23.157209835616445,-5627.130548730547,-6829.823749614435,-6379.033512612624,1329038.1176,2116583.1176,1121014.81020274,1769877.6052712332,1189795.06020274,1884511.3552712328,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,no_ltbi_treatment_utility_decrement,12.0,19.758,0.3303238356164379,15.509808,15.840131835616438,17.50753183561644,-8484.0446199008,-10582.472124574748,-9574.607955816282,1056737.7536,1649477.7536,880433.6862027396,1355637.6412712329,955466.6862027398,1480692.6412712329,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,ltbi_treatment_decrement_0_0133,12.0,19.758,0.1241738356164379,15.509808,15.63398183561644,17.30138183561644,-8484.0446199008,-10722.01281557844,-9688.69164282146,1056737.7536,1649477.7536,871156.9362027398,1340176.3912712329,946189.9362027398,1465231.3912712329,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,yld_only_no_yll,12.0,1.998,0.3303238356164379,15.509808,15.840131835616438,17.50753183561644,-83897.77457457456,-10582.472124574748,-9574.607955816282,257537.7536,317477.75360000005,880433.6862027396,1355637.6412712329,955466.6862027398,1480692.6412712329,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,conservative_yll_10,12.0,10.878,0.3303238356164379,7.754904,8.085227835616438,9.75262783561644,-15409.7953300239,-20732.59492596842,-17187.957586961962,657137.7535999999,983477.7536,531463.0062027397,774019.8412712328,606496.0062027397,899074.8412712328,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,higher_yll_30,12.0,28.638,0.3303238356164379,23.264712,23.59503583561644,25.26243583561644,-5853.33310985404,-7104.36528970928,-6635.454897966281,1456337.7536,2315477.7536,1229404.3662027395,1937255.441271233,1304437.3662027395,2062310.441271233,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,lower_tb_case_fatality,12.0,10.878,0.3303238356164379,7.754904,8.085227835616438,9.75262783561644,-15409.7953300239,-20732.59492596842,-17187.957586961962,657137.7535999999,983477.7536,531463.0062027397,774019.8412712328,606496.0062027397,899074.8412712328,Sensitivity assumption; not a final policy setting.
apy_paper_prevent_igra_3hp,prevent,higher_tb_case_fatality,12.0,28.638,0.3303238356164379,23.264712000000003,23.595035835616443,25.262435835616444,-5853.333109854039,-7104.365289709278,-6635.45489796628,1456337.7536,2315477.7536,1229404.3662027398,1937255.441271233,1304437.36620274,2062310.441271233,Sensitivity assumption; not a final policy setting.
