scenario_id,screeningStrategy,view,tbCasesPrevented,acuteDALYsAverted,postTBDALYsAverted,totalDALYsAvertedIncludingPostTB,acuteQALYsGained,postTBQALYsGained,totalQALYsGainedIncludingPostTB,postTBCostsAverted,acuteNetCost,netCostIncludingPostTB,costPerDALYIncludingPostTB,costPerQALYIncludingPostTB,postTBAnnualCareCost,postTBDurationYears,postTBExcessMortalityMultiplier,pPTLD,pPTLD_low,pPTLD_high,notes
apy_paper_random_igra_3hp,random,acute_only,4.0,6.586,0.0,6.586,5.280043945205479,0.0,5.280043945205479,0.0,-19956.1696,-19956.1696,-3030.0895232310963,-3779.546118763105,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_random_igra_3hp,random,acute_plus_post_tb_daly_tail,4.0,6.586,23.2,29.786,5.280043945205479,0.0,5.280043945205479,0.0,-19956.1696,-19956.1696,-669.9848788021218,-3779.546118763105,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_random_igra_3hp,random,acute_plus_post_tb_qaly_tail,4.0,6.586,0.0,6.586,5.280043945205479,3.72,9.00004394520548,0.0,-19956.1696,-19956.1696,-3030.0895232310963,-2217.3413509420793,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_ltbi_igra_3hp,ltbi,acute_only,11.0,18.1115,0.0,18.1115,14.520097835616436,0.0,14.520097835616436,0.0,-147720.61759999997,-147720.61759999997,-8156.177986362254,-10173.527704314442,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_ltbi_igra_3hp,ltbi,acute_plus_post_tb_daly_tail,11.0,18.1115,63.8,81.91149999999999,14.520097835616436,0.0,14.520097835616436,0.0,-147720.61759999997,-147720.61759999997,-1803.4173174706846,-10173.527704314442,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_ltbi_igra_3hp,ltbi,acute_plus_post_tb_qaly_tail,11.0,18.1115,0.0,18.1115,14.520097835616436,10.23,24.750097835616437,0.0,-147720.61759999997,-147720.61759999997,-8156.177986362254,-5968.486208867577,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_cure_igra_3hp,cure,acute_only,11.0,18.1115,0.0,18.1115,14.520097835616436,0.0,14.520097835616436,0.0,-147720.61759999997,-147720.61759999997,-8156.177986362254,-10173.527704314442,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_cure_igra_3hp,cure,acute_plus_post_tb_daly_tail,11.0,18.1115,63.8,81.91149999999999,14.520097835616436,0.0,14.520097835616436,0.0,-147720.61759999997,-147720.61759999997,-1803.4173174706846,-10173.527704314442,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_cure_igra_3hp,cure,acute_plus_post_tb_qaly_tail,11.0,18.1115,0.0,18.1115,14.520097835616436,10.23,24.750097835616437,0.0,-147720.61759999997,-147720.61759999997,-8156.177986362254,-5968.486208867577,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_prevent_igra_3hp,prevent,acute_only,12.0,19.758,0.0,19.758,15.840131835616438,0.0,15.840131835616438,0.0,-167627.7536,-167627.7536,-8484.0446199008,-10582.472124574748,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_prevent_igra_3hp,prevent,acute_plus_post_tb_daly_tail,12.0,19.758,69.6,89.35799999999999,15.840131835616438,0.0,15.840131835616438,0.0,-167627.7536,-167627.7536,-1875.9121018823162,-10582.472124574748,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
apy_paper_prevent_igra_3hp,prevent,acute_plus_post_tb_qaly_tail,12.0,19.758,0.0,19.758,15.840131835616438,11.16,27.000131835616436,0.0,-167627.7536,-167627.7536,-8484.0446199008,-6208.405004114785,0.0,10,1.16,,0.2,0.68,"Post-TB sequelae are handled as a scenario layer on top of acute APY health outcomes. APY-specific PTLD prevalence, duration, excess mortality, and annual care cost inputs are not yet available, so defaults should be treated as sensitivity assumptions only."
