scenario_id,screeningStrategy,section,metric,value
apy_paper_random_igra_3hp,random,costs,testingCost,3404.4
apy_paper_random_igra_3hp,random,costs,treatmentCost,496.52160000000003
apy_paper_random_igra_3hp,random,costs,falsePositiveIncrementalCost,0.0
apy_paper_random_igra_3hp,random,costs,programSetupCost,0.0
apy_paper_random_igra_3hp,random,costs,programRunningCost,0.0
apy_paper_random_igra_3hp,random,costs,tbDiseaseCostsAverted,0.0
apy_paper_random_igra_3hp,random,costs,baselineTBDiseaseCost,38159.2
apy_paper_random_igra_3hp,random,costs,interventionTBDiseaseCost,19079.6
apy_paper_random_igra_3hp,random,costs,totalProgramCost,3900.9216
apy_paper_random_igra_3hp,random,costs,netCostVsBaseline,3900.9216
apy_paper_ltbi_igra_3hp,ltbi,costs,testingCost,3404.4
apy_paper_ltbi_igra_3hp,ltbi,costs,treatmentCost,827.5360000000001
apy_paper_ltbi_igra_3hp,ltbi,costs,falsePositiveIncrementalCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,programSetupCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,programRunningCost,0.0
apy_paper_ltbi_igra_3hp,ltbi,costs,tbDiseaseCostsAverted,19079.6
apy_paper_ltbi_igra_3hp,ltbi,costs,baselineTBDiseaseCost,38159.2
apy_paper_ltbi_igra_3hp,ltbi,costs,interventionTBDiseaseCost,19079.6
apy_paper_ltbi_igra_3hp,ltbi,costs,totalProgramCost,4231.936
apy_paper_ltbi_igra_3hp,ltbi,costs,netCostVsBaseline,-14847.663999999999
apy_paper_cure_igra_3hp,cure,costs,testingCost,3404.4
apy_paper_cure_igra_3hp,cure,costs,treatmentCost,827.5360000000001
apy_paper_cure_igra_3hp,cure,costs,falsePositiveIncrementalCost,0.0
apy_paper_cure_igra_3hp,cure,costs,programSetupCost,0.0
apy_paper_cure_igra_3hp,cure,costs,programRunningCost,0.0
apy_paper_cure_igra_3hp,cure,costs,tbDiseaseCostsAverted,19079.6
apy_paper_cure_igra_3hp,cure,costs,baselineTBDiseaseCost,38159.2
apy_paper_cure_igra_3hp,cure,costs,interventionTBDiseaseCost,19079.6
apy_paper_cure_igra_3hp,cure,costs,totalProgramCost,4231.936
apy_paper_cure_igra_3hp,cure,costs,netCostVsBaseline,-14847.663999999999
apy_paper_prevent_igra_3hp,prevent,costs,testingCost,3404.4
apy_paper_prevent_igra_3hp,prevent,costs,treatmentCost,662.0288
apy_paper_prevent_igra_3hp,prevent,costs,falsePositiveIncrementalCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,programSetupCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,programRunningCost,0.0
apy_paper_prevent_igra_3hp,prevent,costs,tbDiseaseCostsAverted,19079.6
apy_paper_prevent_igra_3hp,prevent,costs,baselineTBDiseaseCost,38159.2
apy_paper_prevent_igra_3hp,prevent,costs,interventionTBDiseaseCost,19079.6
apy_paper_prevent_igra_3hp,prevent,costs,totalProgramCost,4066.4288
apy_paper_prevent_igra_3hp,prevent,costs,netCostVsBaseline,-15013.171199999999
