scenario_id,screeningStrategy,section,metric,value
apy_paper_random_igra_3hp,random,health,tbCasesPrevented,0.0
apy_paper_random_igra_3hp,random,health,tbDeathsPrevented,0.0
apy_paper_random_igra_3hp,random,health,yldAverted,0.0
apy_paper_random_igra_3hp,random,health,yllAverted,0.0
apy_paper_random_igra_3hp,random,health,dalysAverted,0.0
apy_paper_random_igra_3hp,random,health,qalyLossActiveTBAverted,0.0
apy_paper_random_igra_3hp,random,health,qalyLossTreatment,0.0
apy_paper_random_igra_3hp,random,health,qalyLossSAE,0.0
apy_paper_random_igra_3hp,random,health,qalysGained,0.0
apy_paper_ltbi_igra_3hp,ltbi,health,tbCasesPrevented,1.0
apy_paper_ltbi_igra_3hp,ltbi,health,tbDeathsPrevented,0.074
apy_paper_ltbi_igra_3hp,ltbi,health,yldAverted,0.1665
apy_paper_ltbi_igra_3hp,ltbi,health,yllAverted,1.48
apy_paper_ltbi_igra_3hp,ltbi,health,dalysAverted,1.6465
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossActiveTBAverted,0.027549999999999963
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossTreatment,0.0
apy_paper_ltbi_igra_3hp,ltbi,health,qalyLossSAE,0.0
apy_paper_ltbi_igra_3hp,ltbi,health,qalysGained,0.027549999999999963
apy_paper_cure_igra_3hp,cure,health,tbCasesPrevented,1.0
apy_paper_cure_igra_3hp,cure,health,tbDeathsPrevented,0.074
apy_paper_cure_igra_3hp,cure,health,yldAverted,0.1665
apy_paper_cure_igra_3hp,cure,health,yllAverted,1.48
apy_paper_cure_igra_3hp,cure,health,dalysAverted,1.6465
apy_paper_cure_igra_3hp,cure,health,qalyLossActiveTBAverted,0.027549999999999963
apy_paper_cure_igra_3hp,cure,health,qalyLossTreatment,0.0
apy_paper_cure_igra_3hp,cure,health,qalyLossSAE,0.0
apy_paper_cure_igra_3hp,cure,health,qalysGained,0.027549999999999963
apy_paper_prevent_igra_3hp,prevent,health,tbCasesPrevented,1.0
apy_paper_prevent_igra_3hp,prevent,health,tbDeathsPrevented,0.074
apy_paper_prevent_igra_3hp,prevent,health,yldAverted,0.1665
apy_paper_prevent_igra_3hp,prevent,health,yllAverted,1.48
apy_paper_prevent_igra_3hp,prevent,health,dalysAverted,1.6465
apy_paper_prevent_igra_3hp,prevent,health,qalyLossActiveTBAverted,0.027549999999999963
apy_paper_prevent_igra_3hp,prevent,health,qalyLossTreatment,0.0
apy_paper_prevent_igra_3hp,prevent,health,qalyLossSAE,0.0
apy_paper_prevent_igra_3hp,prevent,health,qalysGained,0.027549999999999963
