scenario_id,screeningStrategy,sensitivity,tbCasesPrevented,dalysAverted,qalysGained,costPerDALYAverted,costPerQALYGained,nmbDALY_45000,nmbDALY_75000,nmbQALY_45000,nmbQALY_75000,notes
apy_paper_random_igra_3hp,random,no_ltbi_treatment_utility_decrement,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,ltbi_treatment_decrement_0_0133,0.0,0.0,-0.009975,,-391069.8345864662,-3900.9216,-3900.9216,-4349.7966,-4649.0466,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,yld_only_no_yll,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,conservative_yll_10,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,higher_yll_30,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,lower_tb_case_fatality,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_random_igra_3hp,random,higher_tb_case_fatality,0.0,0.0,0.0,,,-3900.9216,-3900.9216,-3900.9216,-3900.9216,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,no_ltbi_treatment_utility_decrement,1.0,1.6465,0.027549999999999963,-9017.712723959914,-538935.1724137937,88940.164,138335.164,16087.413999999997,16913.913999999997,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,ltbi_treatment_decrement_0_0133,1.0,1.6465,0.010924999999999963,-9017.712723959914,-1359053.913043483,88940.164,138335.164,15339.288999999997,15667.038999999995,Sensitivity assumption; not a final policy setting.
apy_paper_ltbi_igra_3hp,ltbi,yld_only_no_yll,1.0,0.1665,0.027549999999999963,-89175.15915915914,-538935.1724137937,22340.163999999997,27335.163999999997,16087.413999999997,16913.913999999997,Sensitivity assumption; not a final policy setting.
