prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,0,NNS_prevent_one_active_TB,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,NNT_completed_prevent_one_active_TB,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,NNT_started_prevent_one_active_TB,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,PPV_trueAmongTestPositive,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,falsePositiveShareAmongTestPositive,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,falsePositiveTestsPerTruePositiveTest,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,falsePositiveTreatedPerTruePositiveTreated,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,falsePositiveTreatedShareAmongCoursesStarted,,,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,nActiveBy20y_AfterStrategy_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,nActiveBy20y_DoNothing_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,0,nCuredInfection_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,0,nFalsePositiveTestsBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,0,nFalsePositiveTestsNoBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,0,nFalsePositiveTests_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
