Year,Delivery expenditure,Comparator TB care,Intervention TB care,Annual incremental,Cumulative incremental
0,"AUD 48,938","AUD 220,675","AUD 206,727","AUD 34,990","AUD 34,990"
1,"AUD 46,111","AUD 146,691","AUD 101,140",AUD 560,"AUD 35,551"
2,AUD 4,"AUD 23,946","AUD 12,076","AUD -11,866","AUD 23,685"
3,AUD 0,"AUD 22,402","AUD 11,105","AUD -11,297","AUD 12,388"
4,AUD 0,"AUD 21,292","AUD 10,417","AUD -10,875","AUD 1,513"
5,AUD 0,"AUD 19,075","AUD 9,398","AUD -9,677","AUD -8,164"
6,AUD 0,"AUD 17,888","AUD 8,868","AUD -9,020","AUD -17,184"
7,AUD 0,"AUD 16,289","AUD 8,214","AUD -8,075","AUD -25,259"
8,AUD 0,"AUD 15,416","AUD 7,779","AUD -7,636","AUD -32,895"
9,AUD 0,"AUD 15,062","AUD 7,421","AUD -7,640","AUD -40,536"
10,AUD 0,"AUD 13,799","AUD 7,077","AUD -6,722","AUD -47,258"
11,AUD 0,"AUD 12,695","AUD 6,561","AUD -6,134","AUD -53,392"
12,AUD 0,"AUD 12,030","AUD 6,102","AUD -5,928","AUD -59,320"
13,AUD 0,"AUD 11,810","AUD 5,957","AUD -5,853","AUD -65,173"
14,AUD 0,"AUD 10,917","AUD 5,916","AUD -5,001","AUD -70,174"
15,AUD 0,"AUD 10,085","AUD 5,046","AUD -5,039","AUD -75,214"
16,AUD 0,"AUD 9,690","AUD 5,041","AUD -4,649","AUD -79,863"
17,AUD 0,"AUD 9,217","AUD 4,739","AUD -4,479","AUD -84,342"
18,AUD 0,"AUD 9,055","AUD 4,830","AUD -4,225","AUD -88,567"
19,AUD 0,"AUD 8,226","AUD 4,423","AUD -3,803","AUD -92,370"
