Field,Value
Repository,github.com/emmamcbryde/tb-community-risk
Branch,codex/apy-sa-health-matlab-compatible-anchor
Commit,12f697aa7caccad9a9290a7c7eef2dad54257e46
Model type,Stochastic individual-based compatibility anchor
Simulations,2000
Seed,1
Population,1500
Coverage,30.0%
Screening window,2 years
Follow-up,20 years
Event-ledger contract,ltbi_screening_event_ledger_v3
Economics contract,ltbi_health_economics_results_v3
Configuration hash,a84f98039b269502d17f9c6e4b1e97fb6e9d35a211294bb8bccb637f7af7c9f1
Economics hash,57ce96656c71ac1d2e1a4e8fbc77578d9e292ed02737e926529ed97c80e4ce67
Evidence-registry hash,72a9410cff2f41b7b252e28a87527d3c9683cfa810b2a83179fa460635f14e43
